日期,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h,IPRC
2016/1/1,293,重度污染,243,324,122,6.1,149,12,2.088377628
2016/1/2,430,严重污染,395,517,138,7.5,180,18,3.316942225
2016/1/3,332,严重污染,282,405,72,6.3,130,10,2.516424578
2016/1/4,204,重度污染,154,237,73,3.5,72,34,1.505692699
2016/1/5,169,中度污染,128,186,99,3.2,66,39,1.210233451
2016/1/6,236,重度污染,186,256,118,4.4,90,30,1.736391883
2016/1/7,149,轻度污染,114,166,74,2.9,68,36,0.995390259
2016/1/8,232,重度污染,182,248,102,4,87,31,1.69673985
2016/1/9,294,重度污染,244,322,121,4.4,116,26,2.063772029
2016/1/10,193,中度污染,145,204,88,3,88,20,1.327041796
2016/1/11,104,轻度污染,78,122,60,1.8,56,43,0.734974038
2016/1/12,210,重度污染,160,224,85,3.5,78,34,1.542928807
2016/1/13,259,重度污染,209,285,103,4.7,101,26,1.858105958
2016/1/14,228,重度污染,178,247,102,3.8,102,34,1.683768861
2016/1/15,260,重度污染,210,282,107,4.5,117,33,1.878862365
2016/1/16,203,重度污染,153,215,64,3,86,10,1.460798806
2016/1/17,115,轻度污染,87,127,41,2.1,62,46,0.786592581
2016/1/18,113,轻度污染,85,130,48,2,62,55,0.788721606
2016/1/19,162,中度污染,123,185,86,2.8,84,33,1.178991196
2016/1/20,280,重度污染,230,299,116,5.3,112,10,1.972433199
2016/1/21,163,中度污染,124,168,78,3.5,82,16,1.178313794
2016/1/22,61,良,41,71,25,1,35,69,0.410346675
2016/1/23,60,良,34,70,26,0.8,25,75,0.386875299
2016/1/24,55,良,31,60,40,1,38,72,0.3944181
2016/1/25,190,中度污染,143,192,103,4,91,44,1.366665247
2016/1/26,137,轻度污染,104,146,89,3,86,44,0.969322784
2016/1/27,254,重度污染,204,270,144,5.6,118,25,1.872746402
2016/1/28,166,中度污染,126,175,110,3.3,112,22,1.233117302
2016/1/29,82,良,60,88,61,1.8,64,40,0.569538252
2016/1/30,79,良,58,77,57,1.4,53,43,0.531689211
2016/1/31,152,中度污染,116,143,69,2.7,67,65,1.092159047
2016/2/1,203,重度污染,153,187,98,3.6,86,65,1.52835632
2016/2/2,202,重度污染,152,196,119,4,98,56,1.562857545
2016/2/3,233,重度污染,183,228,114,4.5,105,52,1.727854161
2016/2/4,160,中度污染,122,159,97,3.2,84,55,1.18945188
2016/2/5,172,中度污染,130,168,86,3.6,76,68,1.250054632
2016/2/6,130,轻度污染,99,137,81,2.6,65,77,0.916428809
2016/2/7,178,中度污染,134,180,96,3.5,69,77,1.281280564
2016/2/8,170,中度污染,129,181,121,2.2,54,83,1.203821747
2016/2/9,162,中度污染,123,161,100,3.5,65,92,1.206782836
2016/2/10,138,轻度污染,105,137,87,3,68,66,0.960280997
2016/2/11,129,轻度污染,98,136,73,3.1,65,33,0.89619751
2016/2/12,196,中度污染,147,194,48,3.4,60,22,1.282609011
2016/2/13,51,良,29,51,28,0.9,25,69,0.345329986
2016/2/14,44,优,12,28,15,0.8,13,88,0.236047107
2016/2/15,41,优,16,36,26,0.9,23,82,0.254151679
2016/2/16,54,良,31,58,51,1.4,42,85,0.420276983
2016/2/17,88,良,65,97,72,2.3,64,71,0.628981717
2016/2/18,67,良,42,79,67,1.6,53,89,0.507888747
2016/2/19,72,良,52,88,54,1.7,47,87,0.526958642
2016/2/20,45,优,26,45,42,1.1,33,87,0.310184898
2016/2/21,122,轻度污染,92,144,81,2.3,73,55,0.876251011
2016/2/22,229,重度污染,179,251,94,3.7,96,42,1.683300749
2016/2/23,40,优,22,38,36,1,30,80,0.273977759
2016/2/24,68,良,49,78,50,1.4,51,72,0.495909441
2016/2/25,77,良,53,88,79,1.5,61,72,0.559347997
2016/2/26,98,良,73,116,83,2,74,80,0.690800617
2016/2/27,72,良,36,59,45,1.4,57,73,0.486815041
2016/2/28,56,良,36,61,39,1.3,42,88,0.421800685
2016/2/29,60,良,30,53,52,1.2,48,79,0.434445065
2016/3/1,135,轻度污染,103,151,98,2.6,99,69,0.980887827
2016/3/2,104,轻度污染,78,130,84,1.9,78,87,0.810723113
2016/3/3,193,中度污染,145,224,98,2.8,91,102,1.396189613
2016/3/4,200,中度污染,150,213,52,2.5,73,52,1.328642478
2016/3/5,125,轻度污染,50,199,37,1,47,88,0.771863714
2016/3/6,142,轻度污染,86,234,68,2.4,90,34,0.977401271
2016/3/7,89,良,44,128,41,1.4,59,87,0.58500347
2016/3/8,52,良,20,54,25,0.6,32,70,0.336976331
2016/3/9,64,良,40,77,36,1,44,66,0.440065973
2016/3/10,54,良,20,58,29,0.7,32,86,0.358330739
2016/3/11,79,良,55,108,61,1.5,61,88,0.57701766
2016/3/12,132,轻度污染,100,174,104,2.4,88,56,0.963618064
2016/3/13,82,良,58,114,52,1.4,60,96,0.588052711
2016/3/14,93,良,62,135,83,1.6,66,89,0.657671206
2016/3/15,110,轻度污染,83,156,68,1.4,60,113,0.821537231
2016/3/16,220,重度污染,170,257,84,1.9,82,150,1.667799212
2016/3/17,228,重度污染,178,288,96,2.3,107,138,1.753946635
2016/3/18,231,重度污染,181,322,60,2.5,124,180,1.839906479
2016/3/19,86,良,49,122,32,0.8,52,84,0.547144588
2016/3/20,84,良,50,118,49,1.2,67,114,0.601020746
2016/3/21,122,轻度污染,92,187,71,1.5,74,132,0.928345904
2016/3/22,121,轻度污染,84,191,46,1.1,69,93,0.849208693
2016/3/23,76,良,44,102,21,0.7,42,87,0.479775784
2016/3/24,66,良,33,81,18,0.6,42,84,0.419717582
2016/3/25,75,良,43,99,23,0.7,51,88,0.486015508
2016/3/26,65,良,34,80,17,0.6,41,97,0.422224569
2016/3/27,87,良,47,124,26,0.8,46,98,0.542744853
2016/3/28,124,轻度污染,73,198,50,1,60,100,0.839952288
2016/3/29,78,良,29,105,24,0.5,30,104,0.461540396
2016/3/30,107,轻度污染,70,164,42,1.1,64,114,0.778477754
2016/3/31,182,中度污染,106,313,57,1,62,144,1.274878945
2016/4/1,138,轻度污染,54,226,28,0.6,48,134,0.850528822
2016/4/2,60,良,16,56,11,0.5,27,111,0.356916087
2016/4/3,61,良,23,62,12,0.5,25,113,0.373063998
2016/4/4,103,轻度污染,77,141,43,0.9,58,114,0.7502587
2016/4/5,114,轻度污染,86,178,38,1,62,151,0.853723027
